Property ID,Neighbourhood or locality,Type of building,Construction year,Price (€),Bedrooms,Living area (m²),Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface (m²),Garden,Garden surface (m²),Surface of the plot (m²),Number of frontages,Swimming pool,Elevator,Basement,Building condition,Cadastral income (€),Primary energy consumption (kWh/m²),CO₂ emission (kg CO₂/m²),Energy class,Heating type,Kitchen type scale,Building condition scale
10579605,,,1928.0,530000,4.0,176.0,USA hyper equipped,0,0.0,1.0,0.0,0.0,0.0,362.0,4.0,0,0,1,Good,880.0,394.0,69.0,E,Gas,8,4
10578260,Quartier Européen,,1972.0,340000,2.0,70.0,USA hyper equipped,1,0.0,1.0,20.0,0.0,0.0,,2.0,0,1,1,Just renovated,1175.0,647.0,142.0,G,Gas,8,5
10576930,Bruxelles (19 communes),,1952.0,730000,6.0,300.0,Hyper equipped,0,0.0,1.0,10.0,1.0,320.0,506.0,2.0,0,1,0,To be done up,2992.0,644.0,129.0,G,Gas,4,1
10572904,Liège environs,,1850.0,235000,5.0,230.0,USA installed,0,0.0,0.0,0.0,1.0,339.0,432.0,3.0,0,0,1,Good,593.0,403.0,101.0,E,Fuel oil,7,4
10572508,Vlaamse Ardennen,,1954.0,419000,5.0,202.0,Installed,0,0.0,1.0,20.0,1.0,850.0,1541.0,4.0,0,0,0,Good,1303.0,289.0,8912.0,C,Gas,3,4
10572922,,,1910.0,750000,4.0,306.0,Hyper equipped,0,0.0,1.0,28.0,0.0,0.0,3113.0,3.0,1,0,0,Good,1663.0,385.0,34.0,D,Fuel oil,4,4
10579280,Knokke Centrum,,2002.0,675000,2.0,100.0,USA hyper equipped,0,0.0,1.0,15.0,0.0,0.0,,2.0,0,1,1,To be done up,,440.0,,E,Gas,8,1
10571119,,,2009.0,189000,2.0,105.0,Semi equipped,0,0.0,1.0,15.0,1.0,70.0,,,0,1,1,Good,644.0,230.0,,C,Pellet,2,4
10579926,,,,169000,3.0,209.0,,0,0.0,0.0,0.0,1.0,150.0,287.0,2.0,0,0,1,To be done up,587.0,358.0,,E,Gas,0,1
10317756,,,,60000,2.0,72.0,Installed,0,0.0,1.0,7.0,0.0,0.0,,4.0,0,0,0,,,331.0,64.0,D,Gas,3,0
10317755,,,,70000,2.0,86.0,Installed,0,0.0,1.0,18.0,0.0,0.0,,2.0,0,0,1,,572.0,510.0,128.0,F,Fuel oil,3,0
10579918,,,1947.0,223000,2.0,110.0,,0,0.0,1.0,0.0,0.0,0.0,,2.0,0,0,0,Good,702.0,256.0,1000.0,C,Gas,0,4
10579917,,,2009.0,275000,3.0,139.0,Hyper equipped,0,0.0,1.0,9.0,0.0,0.0,,,0,1,1,,870.0,167.0,31.0,B,,4,0
10579915,,,1965.0,370000,3.0,112.0,Installed,0,0.0,0.0,0.0,0.0,0.0,,,0,1,0,As new,872.0,113.0,,B,Gas,3,6
