Property ID,Construction year,Neighbourhood or locality,Type of building,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace surface,Terrace surface,Elevator,Accessible for disabled people,Swimming pool,Primary energy consumption,Energy class,Heating type,Price,Monthly charges,Cadastral income,Surface of the plot,Garden,Garden surface,Terrace,Terrace surface,Terrace surface
10579605,1928.0,None,None,Good,4.0,176  m² square meters,USA hyper equipped,4.0,2.0,1.0,2.0,Yes,None,None,None,No,Yes,No,394  kWh/m²  kilowatt hour per square meters,E,Gas,"€ 530,000  530000 €",None,€ 880  880 €,362  m²  square meters,None,None,Yes,None,None
10578260,1972.0,Quartier Européen,None,Just renovated,2.0,70  m² square meters,USA hyper equipped,2.0,1.0,None,1.0,Yes,Yes,20  m²  square meters,20  m²  square meters,Yes,No,No,647  kWh/m²  kilowatt hour per square meters,G,Gas,"€ 340,000  340000 €",€ 197  197 €,"€ 1,175  1175 €",None,None,None,None,20  m²  square meters,20  m²  square meters
10576930,1952.0,Bruxelles (19 communes),None,To be done up,2.0,300  m² square meters,Hyper equipped,6.0,3.0,2.0,3.0,None,None,10  m²  square meters,10  m²  square meters,Yes,Yes,No,644  kWh/m²  kilowatt hour per square meters,G,Gas,"€ 730,000  730000 €",None,"€ 2,992  2992 €",506  m²  square meters,None,320  m²  square meters,None,10  m²  square meters,10  m²  square meters
10572904,1850.0,Liège environs,None,Good,3.0,230  m² square meters,USA installed,5.0,2.0,2.0,2.0,Yes,No,None,None,No,No,No,403  kWh/m²  kilowatt hour per square meters,E,Fuel oil,"Make an offer starting from  € 235,000  Make an offer starting from  235000 €",None,€ 593  593 €,432  m²  square meters,None,339  m²  square meters,None,None,None
10572508,1954.0,Vlaamse Ardennen,None,Good,4.0,202  m² square meters,Installed,5.0,1.0,None,2.0,None,No,20  m²  square meters,20  m²  square meters,No,No,No,289  kWh/m²  kilowatt hour per square meters,C,Gas,"€ 419,000  419000 €",None,"€ 1,303  1303 €",1541  m²  square meters,None,850  m²  square meters,None,20  m²  square meters,20  m²  square meters
10572922,1910.0,None,None,Good,3.0,306  m² square meters,Hyper equipped,4.0,1.0,None,2.0,None,None,28  m²  square meters,28  m²  square meters,No,No,Yes,385  kWh/m²  kilowatt hour per square meters,D,Fuel oil,"€ 750,000  750000 €",None,"€ 1,663  1663 €",3113  m²  square meters,None,None,None,28  m²  square meters,28  m²  square meters
10579280,2002.0,Knokke Centrum,None,To be done up,2.0,100  m² square meters,USA hyper equipped,2.0,2.0,2.0,2.0,Yes,No,15  m²  square meters,15  m²  square meters,Yes,No,No,440  kWh/m²  kilowatt hour per square meters,E,Gas,"€ 675,000  675000 €",None,None,None,None,None,None,15  m²  square meters,15  m²  square meters
10571119,2009.0,None,None,Good,None,105  m² square meters,Semi equipped,2.0,1.0,None,1.0,Yes,None,15  m²  square meters,15  m²  square meters,Yes,None,None,230  kWh/m²  kilowatt hour per square meters,C,Pellet,"€ 189,000  189000 €",None,€ 644  644 €,None,None,70  m²  square meters,None,15  m²  square meters,15  m²  square meters
10579926,None,None,None,To be done up,2.0,209  m² square meters,None,3.0,1.0,None,1.0,Yes,None,None,None,None,None,None,358  kWh/m²  kilowatt hour per square meters,E,Gas,"€ 169,000  169000 €",None,€ 587  587 €,287  m²  square meters,None,150  m²  square meters,None,None,None
10317756,None,None,None,None,4.0,72  m² square meters,Installed,2.0,None,None,None,None,No,7  m²  square meters,7  m²  square meters,None,None,None,331  kWh/m²  kilowatt hour per square meters,D,Gas,"€ 60,000  60000 €",None,None,None,None,None,None,7  m²  square meters,7  m²  square meters
10317755,None,None,None,None,2.0,86  m² square meters,Installed,2.0,None,None,None,Yes,No,18  m²  square meters,18  m²  square meters,None,None,None,510  kWh/m²  kilowatt hour per square meters,F,Fuel oil,"€ 70,000  70000 €",None,€ 572  572 €,None,None,None,None,18  m²  square meters,18  m²  square meters
10579918,1947.0,None,None,Good,2.0,110  m² square meters,None,2.0,1.0,None,1.0,None,None,None,None,None,None,None,256  kWh/m²  kilowatt hour per square meters,C,Gas,"€ 223,000  223000 €",None,€ 702  702 €,None,None,None,Yes,None,None
