,Building condition,Living area,Kitchen type,Bedrooms,Bathrooms,Price,Type of Property,Subtype of Property,Type of Sale,Neighbourhood or locality,Number of frontages,Furnished,Surface of the plot,Garden surface,Swimming pool,Terrace
1,Good,160,Installed,4,1,"€ 295,000  295000 €",house,house,for sale,Liège Center,2,0.0,154,80,None,None
2,As new,728,Installed,4,3,"€ 1,975,000  1975000 €",house,house,for sale,None,4,None,14220,None,None,None
3,As new,146,Installed,3,2,"€ 595,000  595000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
4,Good,89,Installed,2,1,"€ 220,000  220000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
6,As new,99,USA hyper equipped,2,1,"€ 276,000  276000 €",apartment,apartment,for sale,Regio Tienen,2,None,None,None,None,None
7,Just renovated,None,Installed,3,2,"€ 1,395,000  1395000 €",house,house,for sale,None,4,0.0,795,None,None,1.0
8,To renovate,181,None,5,2,"€ 599,000  599000 €",house,house,for sale,None,2,None,180,None,None,1.0
9,As new,63,Installed,1,1,"€ 309,000  309000 €",apartment,apartment,for sale,None,2,0.0,None,None,None,None
10,None,130,Installed,4,1,"€ 285,000  285000 €",house,house,for sale,None,3,None,115,None,None,1.0
11,Good,237,Hyper equipped,3,1,"€ 565,000  565000 €",house,villa,for sale,None,4,0.0,1600,None,None,None
12,As new,86,USA hyper equipped,2,1,"€ 279,900  279900 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
16,Good,85,Installed,2,1,"€ 240,000  240000 €",apartment,apartment,for sale,None,2,None,None,None,0.0,None
19,As new,90,Installed,2,1,"€ 298,000  298000 €",apartment,duplex,for sale,None,2,None,None,None,0.0,None
20,To be done up,119,Installed,3,1,"€ 163,000  163000 €",house,house,for sale,None,2,0.0,250,101,0.0,None
21,To renovate,238,None,5,2,"€ 500,000  500000 €",house,villa,for sale,Brabant Wallon,4,0.0,1200,1090,None,None
22,Good,119,Installed,4,1,"€ 235,000  235000 €",house,house,for sale,None,3,None,589,514,None,None
23,Good,782,None,21,21,"€ 2,250,000  2250000 €",house,apartment block,for sale,Bruxelles (19 communes),3,0.0,455,275,None,None
24,As new,150,None,3,1,"€ 399,000  399000 €",house,house,for sale,None,3,None,289,None,None,1.0
25,As new,187,USA installed,4,1,"€ 330,000  330000 €",house,house,for sale,None,None,0.0,84,None,0.0,1.0
26,To renovate,130,Installed,3,1,"€ 275,000  275000 €",house,house,for sale,None,None,None,605,None,0.0,None
28,Good,110,Installed,2,1,"€ 315,000  315000 €",apartment,apartment,for sale,None,3,None,None,None,0.0,None
29,To be done up,200,None,4,2,"€ 650,000  650000 €",house,villa,for sale,None,4,0.0,878,None,None,1.0
30,To be done up,331,Installed,3,1,"€ 489,000  489000 €",house,house,for sale,None,None,0.0,638,None,0.0,1.0
31,As new,96,Hyper equipped,2,1,"€ 330,000  330000 €",apartment,apartment,for sale,Gent en omstreken,2,0.0,None,None,0.0,None
33,To be done up,375,Semi equipped,8,None,"€ 649,000  649000 €",house,house,for sale,None,3,None,86,None,None,1.0
37,As new,203,USA hyper equipped,3,2,"€ 630,000  630000 €",house,house,for sale,None,3,0.0,114,36,0.0,None
40,To be done up,83,Installed,2,1,"Make an offer starting from  € 449,000  Make an offer starting from  449000 €",house,house,for sale,None,3,None,748,None,None,None
42,Good,338,None,6,1,"€ 485,000  485000 €",house,house,for sale,None,4,0.0,1015,None,None,1.0
43,None,176,Installed,3,1,"€ 375,000  375000 €",house,house,for sale,None,3,None,480,242,None,None
44,None,210,USA hyper equipped,3,1,"Make an offer starting from  € 700,000  Make an offer starting from  700000 €",house,exceptional property,for sale,None,None,None,12748,4000,None,None
45,Just renovated,350,None,4,2,"€ 1,200,000  1200000 €",house,house,for sale,None,1,None,101,None,0.0,None
46,Good,91,Installed,2,1,"€ 395,000  395000 €",apartment,apartment,for sale,None,None,1.0,None,None,None,1.0
47,As new,350,None,4,3,"€ 1,350,000  1350000 €",house,villa,for sale,None,4,None,2000,None,1.0,1.0
48,Good,None,USA semi equipped,7,4,"€ 680,000  680000 €",house,apartment block,for sale,None,2,0.0,140,None,0.0,None
49,As new,90,USA hyper equipped,2,1,"€ 307,000  307000 €",apartment,apartment,for sale,Bruxelles (19 communes),2,0.0,None,None,0.0,None
50,As new,220,Hyper equipped,3,1,"€ 890,000  890000 €",house,villa,for sale,None,4,None,961,None,None,None
51,As new,478,Hyper equipped,4,3,"€ 3,695,000  3695000 €",house,exceptional property,for sale,None,4,0.0,8000,None,1.0,None
52,Good,126,Installed,3,1,"€ 335,000  335000 €",house,house,for sale,None,3,None,264,None,0.0,1.0
54,As new,80,Installed,2,1,"Make an offer starting from  € 299,000  Make an offer starting from  299000 €",apartment,apartment,for sale,Bruxelles,2,0.0,None,None,0.0,None
55,As new,72,USA hyper equipped,2,1,"€ 229,000  229000 €",apartment,apartment,for sale,None,3,0.0,None,None,None,1.0
57,As new,83,USA hyper equipped,2,1,"€ 320,000  320000 €",apartment,apartment,for sale,Gent en omstreken,4,0.0,None,None,0.0,None
58,To be done up,130,Hyper equipped,4,1,"Make an offer starting from  € 285,000  Make an offer starting from  285000 €",house,house,for sale,None,4,None,1200,None,None,None
59,Good,330,Semi equipped,6,2,"€ 549,000  549000 €",house,house,for sale,Toutes les communes,3,0.0,555,380,1.0,1.0
60,Good,250,Installed,4,4,"€ 630,000  630000 €",house,apartment block,for sale,None,2,None,310,None,None,None
61,Good,215,USA semi equipped,4,2,"€ 750,000  750000 €",house,house,for sale,R Etterbeek Ixelles,2,0.0,210,130,0.0,None
66,Good,177,Installed,4,None,"€ 269,000  269000 €",house,house,for sale,None,None,0.0,364,None,None,1.0
67,None,135,Installed,3,1,"€ 535,000  535000 €",house,house,for sale,Gent en omstreken,3,0.0,263,177,0.0,1.0
68,Good,180,Hyper equipped,3,2,"€ 840,000  840000 €",apartment,apartment,for sale,Hamoir,4,0.0,None,None,None,None
69,As new,130,USA hyper equipped,2,1,"€ 449,000  449000 €",apartment,apartment,for sale,None,2,0.0,None,250,0.0,None
70,As new,470,USA installed,4,None,"€ 2,290,000  2290000 €",house,apartment block,for sale,Bruxelles,3,None,None,None,0.0,1.0
73,To be done up,216,Semi equipped,4,1,"€ 273,000  273000 €",house,house,for sale,None,4,None,905,None,None,None
74,As new,184,Hyper equipped,3,2,"€ 875,000  875000 €",apartment,apartment,for sale,None,2,0.0,None,None,None,None
75,As new,78,Hyper equipped,1,1,"€ 280,000  280000 €",apartment,apartment,for sale,None,4,None,None,None,0.0,None
76,As new,273,Hyper equipped,7,2,"Make an offer starting from  € 460,000  Make an offer starting from  460000 €",house,exceptional property,for sale,None,2,0.0,300,174,0.0,None
77,As new,245,USA hyper equipped,4,4,"€ 3,995,000  3995000 €",apartment,duplex,for sale,1 ZOUTE,3,None,None,250,1.0,None
78,To be done up,135,USA semi equipped,3,2,"€ 350,000  350000 €",apartment,apartment,for sale,Bruxelles,2,None,None,None,0.0,None
80,To renovate,600,Semi equipped,2,1,"€ 295,000  295000 €",house,country cottage,for sale,None,4,None,877,None,None,1.0
81,As new,435,Hyper equipped,5,3,"€ 675,000  675000 €",house,villa,for sale,None,4,None,3109,None,None,None
82,Good,126,Installed,3,1,"€ 215,000  215000 €",house,house,for sale,None,4,0.0,230,101,0.0,None
83,As new,81,Semi equipped,2,1,"€ 325,000  325000 €",apartment,apartment,for sale,None,2,None,None,None,0.0,None
84,None,89,Hyper equipped,2,1,"€ 415,000  415000 €",apartment,apartment,for sale,None,4,0.0,None,None,0.0,None
85,To be done up,85,Semi equipped,2,1,"€ 275,000  275000 €",apartment,apartment,for sale,BRUXELLES-CAPITALE,3,0.0,None,None,0.0,None
87,Good,100,USA installed,2,1,"€ 390,000  390000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,None
88,Good,120,Installed,3,1,"€ 315,000  315000 €",house,house,for sale,WATERLOO et environs,2,0.0,276,100,0.0,1.0
89,As new,85,USA hyper equipped,1,1,"€ 435,000  435000 €",apartment,apartment,for sale,Bruxelles Sud,None,0.0,None,None,0.0,None
90,Good,127,Installed,3,1,"€ 450,000  450000 €",apartment,apartment,for sale,Parmentier,3,None,None,None,None,None
93,As new,100,Hyper equipped,2,1,"€ 367,000  367000 €",apartment,apartment,for sale,None,2,0.0,None,None,None,None
94,As new,230,USA hyper equipped,3,1,"€ 597,000  597000 €",house,town house,for sale,None,3,None,6579,375,1.0,None
96,Good,107,Not installed,2,1,"€ 144,000  144000 €",house,house,for sale,Liège,2,0.0,98,None,0.0,None
97,To be done up,92,Installed,2,1,"€ 119,000  119000 €",apartment,apartment,for sale,8370 Blankenberge,2,0.0,None,None,None,None
101,As new,240,Hyper equipped,5,None,"€ 749,000  749000 €",house,house,for sale,None,None,0.0,3410,None,None,1.0
102,Good,90,Installed,1,1,"€ 399,000  399000 €",house,house,for sale,None,2,1.0,37,None,0.0,None
105,Good,110,Installed,3,2,"€ 239,900  239900 €",house,house,for sale,Liège,2,0.0,170,65,0.0,None
106,None,148,Semi equipped,3,1,"€ 145,000  145000 €",house,house,for sale,None,None,None,120,60,None,None
107,As new,83,Hyper equipped,2,None,"€ 215,000  215000 €",house,house,for sale,None,4,0.0,204,None,None,None
110,Just renovated,127,Not installed,2,2,"€ 495,000  495000 €",apartment,apartment,for sale,Botanique,2,0.0,None,None,None,None
112,Just renovated,95,USA installed,2,1,"€ 279,000  279000 €",apartment,apartment,for sale,None,3,None,None,None,None,1.0
113,Good,282,Installed,3,1,"Make an offer starting from  € 270,000  Make an offer starting from  270000 €",house,house,for sale,None,3,0.0,373,195,0.0,None
115,Good,120,None,4,1,"€ 220,000  220000 €",apartment,apartment,for sale,None,3,0.0,None,None,0.0,1.0
116,As new,720,USA hyper equipped,4,4,"€ 1,316,690  1316690 €",house,villa,for sale,None,4,0.0,1236,1000,1.0,None
117,Good,275,Semi equipped,2,1,"€ 399,000  399000 €",house,mixed use building,for sale,None,2,None,179,None,None,None
118,Good,390,None,3,2,"€ 975,000  975000 €",house,exceptional property,for sale,Liège,4,None,1767,1,None,None
119,To renovate,600,None,7,6,"€ 2,175,000  2175000 €",house,apartment block,for sale,None,4,0.0,2340,None,0.0,1.0
120,Good,218,Hyper equipped,3,None,"€ 449,000  449000 €",house,villa,for sale,None,None,0.0,665,None,None,1.0
122,As new,228,USA hyper equipped,2,2,"€ 690,000  690000 €",apartment,loft,for sale,R Bruxelles Centre,2,0.0,None,None,0.0,None
123,As new,179,Hyper equipped,3,1,"€ 405,000  405000 €",house,house,for sale,None,3,0.0,259,75,None,None
124,As new,92,Hyper equipped,2,1,"€ 386,580  386580 €",apartment,apartment,for sale,None,2,None,None,None,0.0,None
127,Good,245,Hyper equipped,5,5,"€ 1,195,000  1195000 €",house,house,for sale,None,2,0.0,None,None,0.0,None
128,Good,120,Not installed,2,1,"€ 127,500  127500 €",house,house,for sale,None,2,None,100,None,None,None
129,Good,550,Hyper equipped,4,2,"€ 3,200,000  3200000 €",house,house,for sale,None,4,0.0,2500,None,None,None
130,To renovate,198,None,3,1,"€ 480,000  480000 €",house,house,for sale,None,4,0.0,8682,8086,None,None
132,As new,160,Hyper equipped,4,1,"Make an offer starting from  € 249,000  Make an offer starting from  249000 €",house,house,for sale,None,3,0.0,580,300,0.0,None
134,To be done up,70,Semi equipped,4,2,"€ 400,000  400000 €",house,apartment block,for sale,None,2,0.0,200,None,None,1.0
135,Good,338,Hyper equipped,5,2,"€ 840,000  840000 €",house,villa,for sale,None,4,0.0,5502,None,0.0,1.0
136,Good,163,Installed,4,None,"€ 415,000  415000 €",house,villa,for sale,None,None,0.0,606,None,None,1.0
137,Good,422,Hyper equipped,7,2,"€ 489,000  489000 €",house,house,for sale,None,4,0.0,855,620,0.0,None
138,As new,715,USA hyper equipped,2,2,"€ 895,000  895000 €",house,exceptional property,for sale,None,2,0.0,885,360,0.0,None
139,Good,100,None,2,1,"Make an offer starting from  € 275,000  Make an offer starting from  275000 €",house,house,for sale,None,2,0.0,192,146,0.0,None
142,As new,81,Installed,1,1,"€ 329,000  329000 €",house,house,for sale,None,2,0.0,52,None,None,None
143,As new,120,Semi equipped,3,1,"€ 295,000  295000 €",house,house,for sale,None,2,None,64,None,0.0,None
145,As new,118,Not installed,3,1,"€ 450,000  450000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
149,As new,144,None,2,2,"Make an offer starting from  € 495,000  Make an offer starting from  495000 €",house,house,for sale,None,4,None,1409,1196,None,None
151,Good,174,Installed,4,1,"€ 299,000  299000 €",house,house,for sale,None,2,0.0,145,50,None,None
152,As new,193,USA hyper equipped,3,1,"Make an offer starting from  € 550,000  Make an offer starting from  550000 €",house,villa,for sale,None,4,0.0,906,400,None,None
153,Just renovated,125,Hyper equipped,3,1,"Make an offer starting from  € 179,000  Make an offer starting from  179000 €",apartment,apartment,for sale,None,3,1.0,None,None,None,None
155,Good,217,Installed,4,1,"€ 239,000  239000 €",house,house,for sale,Tournai,2,None,130,None,None,1.0
156,As new,223,Hyper equipped,4,2,"€ 599,000  599000 €",house,house,for sale,None,2,None,196,93,0.0,None
157,Good,239,Installed,4,1,"€ 570,000  570000 €",house,villa,for sale,None,4,None,714,None,None,None
158,Just renovated,125,Semi equipped,2,1,"€ 175,000  175000 €",house,house,for sale,None,2,None,3940,None,None,None
159,To be done up,44,Not installed,1,1,"Make an offer starting from  € 39,000  Make an offer starting from  39000 €",apartment,apartment,for sale,None,2,0.0,None,None,None,None
160,Good,204,Installed,4,None,"€ 389,000  389000 €",house,house,for sale,None,None,0.0,340,None,None,1.0
161,As new,106,USA hyper equipped,2,1,"€ 400,000  400000 €",apartment,ground floor,for sale,Bruxelles Est + Sud/Est,None,0.0,None,77,None,1.0
162,Good,210,Installed,3,1,"€ 245,000  245000 €",house,house,for sale,Aalst,2,None,165,50,None,None
163,Good,100,None,2,1,"€ 235,000  235000 €",apartment,penthouse,for sale,None,2,0.0,None,None,0.0,None
164,None,110,Semi equipped,4,1,"€ 150,000  150000 €",house,house,for sale,urbain,3,None,65,None,None,None
165,As new,87,Installed,2,1,"€ 275,000  275000 €",apartment,apartment,for sale,Liège,2,0.0,None,None,0.0,None
